Problem name,experiment number,distance,time (seconds)
gr48,15,5379,11.9275
gr48,16,5294,11.9322
gr48,17,5376,11.9473
gr48,18,5371,11.9675
gr48,19,5379,11.9566
gr48,20,5379,11.9348
gr48,21,5351,11.9277
gr48,22,5379,11.9621
gr48,23,5379,11.9428
gr48,24,5360,11.9315
gr48,25,5379,11.939
gr48,26,5355,11.9333
gr48,27,5357,11.9369
gr48,28,5346,11.9342
gr48,29,5312,11.9543
gr96,0,58515,46.5027
gr96,1,59238,46.4719
gr96,2,59265,46.5331
gr96,3,59107,46.4848
gr96,4,58519,46.5299
gr96,5,59403,46.4971
gr96,6,58626,46.4936
gr96,7,59461,46.5178
gr96,8,58610,46.4956
gr96,9,59353,46.492
gr96,10,58780,46.4836
gr96,11,59246,46.4871
gr96,12,59461,46.485
gr96,13,58649,46.4864
gr96,14,58526,46.4819
gr96,15,58423,46.4933
gr96,16,58574,46.4916
gr96,17,58680,46.4992
gr96,18,59209,46.5283
gr96,19,59243,46.5104
gr96,20,59466,46.4982
gr96,21,59210,46.5027
gr96,22,58883,46.5079
gr96,23,59292,46.5272
gr96,24,59377,46.5191
gr96,25,59461,46.494
gr96,26,58988,46.5278
gr96,27,58990,46.4912
gr96,28,59058,46.49
gr96,29,58566,46.5033
hk48,0,11518,12.2422
hk48,1,11470,12.2419
hk48,2,11470,12.2774
hk48,3,11461,12.2459
hk48,4,11461,12.2384
hk48,5,11518,12.2389
hk48,6,11461,12.2632
hk48,7,11461,12.2427
hk48,8,11470,12.2416
hk48,9,11470,12.2373
hk48,10,11518,12.2667
hk48,11,11525,12.2359
hk48,12,11470,12.2415
hk48,13,11461,12.2433
hk48,14,11474,12.2729
hk48,15,11461,12.2355
hk48,16,11461,12.2376
hk48,17,11470,12.2438
hk48,18,11461,12.2764
hk48,19,11470,12.2551
hk48,20,11470,12.2435
hk48,21,11518,12.2731
hk48,22,11461,12.2377
hk48,23,11461,12.246
hk48,24,11461,12.2362
hk48,25,11525,12.2653
hk48,26,11470,12.2473
hk48,27,11461,12.2435
hk48,28,11518,12.2371
hk48,29,11470,12.2653
kroA100,0,22582.5,51.8387
kroA100,1,22521.4,51.8358
kroA100,2,22714.1,51.823
kroA100,3,22412.1,51.8257
kroA100,4,22856.6,51.8174
kroA100,5,22477.8,51.8236
kroA100,6,22412.1,51.8519
kroA100,7,22552.2,51.8187
kroA100,8,22387.6,51.7961
kroA100,9,22457.4,51.8273
kroA100,10,22582.5,51.8214
kroA100,11,22457.4,51.8523
kroA100,12,22457.4,51.8387
kroA100,13,22489.3,51.8398
kroA100,14,22430,51.8402
kroA100,15,22738.7,51.8369
kroA100,16,22412.1,51.8169
kroA100,17,22492,51.8337
kroA100,18,22668.1,51.8651
kroA100,19,22457.4,51.8241
kroA100,20,22581.1,51.8358
kroA100,21,22582.5,51.826
kroA100,22,22521,51.8372
kroA100,23,22412.1,51.8376
kroA100,24,22489.3,51.8264
kroA100,25,22457.4,51.7953
kroA100,26,22605.6,51.8175
kroA100,27,22574.6,51.861
kroA100,28,22819.6,51.8227
kroA100,29,22580.1,51.8204
kroB100,0,23207.1,51.6888
kroB100,1,23180.7,51.6691
kroB100,2,23225.3,51.66
kroB100,3,23318,51.6546
kroB100,4,23299.7,51.6517
kroB100,5,23099.9,51.6756
kroB100,6,23316.7,51.6606
kroB100,7,23107.1,51.6561
kroB100,8,23027,51.6734
kroB100,9,23318,51.6489
kroB100,10,23144.3,51.6913
kroB100,11,23260.9,51.6657
kroB100,12,23163.1,51.6785
kroB100,13,22938.5,51.6677
kroB100,14,23316.7,51.6621
kroB100,15,23025.7,51.6665
kroB100,16,23065.2,51.6688
kroB100,17,23250.3,51.6705
kroB100,18,23251.6,51.6565
kroB100,19,23316.7,51.6882
kroB100,20,23173.2,51.6618
kroB100,21,22898.2,51.6571
kroB100,22,23353.8,51.657
kroB100,23,23301,51.6586
kroB100,24,23163.1,51.6812
kroB100,25,23015.8,51.6643
kroB100,26,23094.5,51.6515
kroB100,27,23197.3,51.6518
kroB100,28,23153.2,51.6585
kroB100,29,23318,51.672
kroC100,0,21586.3,51.6929
kroC100,1,21630.6,51.7061
kroC100,2,21589.6,51.7163
kroC100,3,21627.1,51.6993
kroC100,4,21627.1,51.7186
kroC100,5,21706.4,51.6953
kroC100,6,21651.6,51.7071
kroC100,7,21541.7,51.6948
kroC100,8,21627.1,51.6845
kroC100,9,21641.2,51.7295
kroC100,10,21531.3,51.7051
kroC100,11,21665.5,51.6906
kroC100,12,21651.6,51.6995
kroC100,13,21665.5,51.7143
kroC100,14,21651.6,51.7363
kroC100,15,21541.7,51.6891
kroC100,16,21641.2,51.6926
kroC100,17,21646,51.6889
kroC100,18,21589.6,51.6879
kroC100,19,21591.4,51.7236
kroC100,20,21627.1,51.6928
kroC100,21,21627.1,51.707
kroC100,22,21675,51.7597
kroC100,23,21627.1,51.709
kroC100,24,21541.7,51.6882
kroC100,25,21573.9,51.6964
kroC100,26,21589.6,51.6867
kroC100,27,21651.6,51.7165
kroC100,28,21596.6,51.6994
kroC100,29,21541.7,51.7004
kroD100,0,22782,51.6584
kroD100,1,23049.8,51.6206
kroD100,2,23003.2,51.6138
kroD100,3,22778,51.6201
kroD100,4,23051.8,51.6341
kroD100,5,22899.3,51.6262
kroD100,6,23013.2,51.6142
kroD100,7,23126.7,51.6264
